Date,Price,Open,High,Low,Vol.,Change %
16-Nov,1212.45,1277.15,1338.2,1202.05,-,-4.64%
16-Oct,1271.5,1313.5,1316.8,1249.5,5.50K,-3.18%
16-Sep,1313.3,1305.3,1350.5,1301.5,8.18K,0.49%
16-Aug,1306.9,1348.8,1366,1306.3,11.45K,-3.12%
16-Jul,1349,1324.5,1374.9,1312.8,66.27K,2.32%
16-Jun,1318.4,1215.7,1355.6,1205.4,12.33K,8.53%
16-May,1214.8,1292.1,1304.4,1199,72.11K,-5.77%
16-Apr,1289.2,1232.3,1295.5,1209.2,9.44K,4.46%
16-Mar,1234.2,1240.5,1280.7,1210,55.06K,0.02%
16-Feb,1233.9,1116.7,1260.8,1115.3,12.63K,10.52%
16-Jan,1116.4,1063.4,1125.7,1063.2,60.86K,5.29%
15-Dec,1060.3,1064.6,1098.8,1046.2,9.97K,-0.52%
15-Nov,1065.8,1137.9,1138.7,1051.1,57.85K,-6.63%
15-Oct,1141.5,1115.2,1189,1105.8,4.19K,2.33%
15-Sep,1115.5,1133.5,1155.9,1098.2,4.78K,-1.42%
15-Aug,1131.6,1095.5,1169,1080.5,12.82K,3.35%
15-Jul,1094.9,1173.1,1173.1,1078.6,57.76K,-6.54%
15-Jun,1171.5,1190.6,1204,1163.3,5.98K,-1.50%
15-May,1189.4,1178.1,1228.1,1170,57.93K,0.59%
15-Apr,1182.4,1182.9,1224.2,1174.6,7.45K,-0.06%
15-Mar,1183.1,1214.3,1222.7,1144.3,42.95K,-2.43%
15-Feb,1212.6,1284.1,1284.7,1191.6,7.75K,-5.15%
15-Jan,1278.5,1184,1303.5,1169.5,78.26K,7.99%
14-Dec,1183.9,1160,1238,1141.7,11.02K,0.74%
14-Nov,1175.2,1166.4,1202.4,1132.9,88.66K,0.35%
14-Oct,1171.1,1207.7,1247,1161.4,3.88K,-3.25%
14-Sep,1210.5,1284.5,1286.4,1204,8.21K,-5.86%
14-Aug,1285.8,1284.1,1322.1,1272,8.89K,0.35%
14-Jul,1281.3,1326.7,1343.7,1280.6,43.10K,-3.06%
14-Jun,1321.8,1250,1328.7,1240.5,10.00K,6.12%
14-May,1245.6,1288.7,1314.2,1241.8,42.32K,-3.86%
14-Apr,1295.6,1285.1,1330,1272.4,7.94K,0.95%
14-Mar,1283.4,1335.9,1391.4,1282.4,70.78K,-2.88%
14-Feb,1321.4,1242.4,1344,1241.2,11.52K,6.56%
14-Jan,1240.1,1204.3,1269.4,1204.3,52.67K,3.18%
13-Dec,1201.9,1251.4,1267,1182,14.56K,-3.89%
13-Nov,1250.6,1325.7,1325.7,1229,92.25K,-5.52%
13-Oct,1323.6,1328,1359.7,1254.1,2.56K,-0.22%
13-Sep,1326.5,1393,1414.4,1292.1,4.59K,-4.99%
13-Aug,1396.1,1323,1428,1274,10.14K,6.38%
13-Jul,1312.4,1234.7,1345.1,1208.9,51.81K,7.24%
13-Jun,1223.8,1389.1,1422.7,1183.2,12.13K,-12.12%
13-May,1392.6,1475.8,1487.1,1342.9,53.45K,-5.41%
13-Apr,1472.2,1596.8,1602.6,1323,14.30K,-7.69%
13-Mar,1594.8,1579.6,1613.1,1561.8,58.37K,1.08%
13-Feb,1577.7,1663.9,1683.4,1554.5,10.81K,-4.99%
13-Jan,1660.6,1672.8,1694.7,1625.7,51.88K,-0.85%
12-Dec,1674.8,1714.9,1722.3,1635.8,6.82K,-2.11%
12-Nov,1710.9,1722.3,1750.5,1674.3,69.65K,-0.38%
12-Oct,1717.5,1766,1794.8,1698.6,2.63K,-3.03%
12-Sep,1771.1,1689.1,1785.3,1687.7,10.33K,5.13%
12-Aug,1684.6,1613.4,1690,1583.1,11.42K,4.60%
12-Jul,1610.5,1597.1,1627.5,1557.2,59.61K,0.44%
12-Jun,1603.5,1560,1639.7,1545.5,10.99K,2.62%
12-May,1562.6,1665,1670.5,1528.5,86.46K,-6.06%
12-Apr,1663.4,1670.4,1682.8,1613,9.55K,-0.35%
12-Mar,1669.3,1698.6,1724.6,1633.8,61.45K,-2.37%
12-Feb,1709.9,1738.2,1790.4,1669,8.89K,-1.61%
12-Jan,1737.8,1568.9,1747.7,1566,62.70K,10.98%
11-Dec,1565.8,1747,1762.9,1525,10.60K,-10.30%
11-Nov,1745.5,1706.7,1797,1674.4,81.48K,1.24%
11-Oct,1724.2,1627.8,1752,1596.6,2.24K,6.41%
11-Sep,1620.4,1825.8,1911.6,1562.4,10.61K,-11.38%
11-Aug,1828.5,1623,1909.3,1607,24.85K,12.30%
11-Jul,1628.3,1502.2,1634.9,1480,77.74K,8.39%
11-Jun,1502.3,1535.7,1558.5,1490.7,14.69K,-2.19%
11-May,1535.9,1572.9,1576.6,1471,84.31K,-1.29%
11-Apr,1556,1433.4,1568.7,1413,15.55K,8.14%
11-Mar,1438.9,1415.3,1446.9,1385.5,58.55K,2.10%
11-Feb,1409.3,1333.1,1415.7,1324.9,13.73K,5.66%
11-Jan,1333.8,1415.6,1423.9,1307.7,88.70K,-6.14%
10-Dec,1421.1,1386.8,1431.1,1362.5,16.14K,2.61%
10-Nov,1385,1360.3,1423.2,1327.5,106.91K,2.06%
10-Oct,1357.1,1309,1383.9,1309,3.17K,3.77%
10-Sep,1307.8,1252.3,1315.2,1239,8.09K,4.77%
