Date,Price,Open,High,Low,Vol.,Change %
22-Nov-16,2202.94,2201.56,2204.8,2194.51,-,0.22%
21-Nov-16,2198.18,2186.43,2198.7,2186.43,-,0.75%
18-Nov-16,2181.9,2186.85,2189.89,2180.38,-,-0.24%
17-Nov-16,2187.12,2178.61,2188.06,2176.65,-,0.47%
16-Nov-16,2176.94,2177.53,2179.22,2172.2,-,-0.16%
15-Nov-16,2180.39,2168.29,2180.84,2166.38,-,0.75%
14-Nov-16,2164.2,2165.64,2171.36,2156.08,-,-0.01%
11-Nov-16,2164.45,2162.71,2165.92,2152.49,-,-0.14%
10-Nov-16,2167.48,2167.49,2182.3,2151.17,-,0.20%
9-Nov-16,2163.26,2131.56,2170.1,2125.35,-,1.11%
8-Nov-16,2139.56,2129.92,2146.87,2123.56,-,0.38%
7-Nov-16,2131.52,2100.59,2132,2100.59,-,2.22%
4-Nov-16,2085.18,2083.79,2099.07,2083.79,-,-0.17%
3-Nov-16,2088.66,2098.8,2102.56,2085.23,-,-0.44%
2-Nov-16,2097.94,2109.43,2111.76,2094,-,-0.65%
1-Nov-16,2111.72,2128.68,2131.45,2097.85,-,-0.68%
31-Oct-16,2126.15,2129.78,2133.25,2125.53,-,-0.01%
28-Oct-16,2126.41,2132.23,2140.72,2119.36,-,-0.31%
27-Oct-16,2133.04,2144.06,2147.13,2132.52,-,-0.30%
26-Oct-16,2139.43,2136.97,2145.73,2131.59,-,-0.17%
25-Oct-16,2143.16,2149.72,2151.44,2141.93,-,-0.38%
24-Oct-16,2151.33,2148.5,2154.79,2146.91,-,0.47%
21-Oct-16,2141.16,2139.43,2142.63,2130.09,-,-0.01%
20-Oct-16,2141.34,2142.51,2147.18,2133.44,-,-0.14%
19-Oct-16,2144.29,2140.81,2148.44,2138.15,-,0.22%
18-Oct-16,2139.6,2138.31,2144.38,2135.49,-,0.62%
17-Oct-16,2126.5,2132.95,2135.61,2124.43,-,-0.30%
14-Oct-16,2132.98,2139.68,2149.19,2132.98,-,0.02%
13-Oct-16,2132.55,2130.26,2138.19,2114.72,-,-0.31%
12-Oct-16,2139.18,2137.67,2145.36,2132.77,-,0.11%
11-Oct-16,2136.73,2161.35,2161.56,2128.84,-,-1.24%
10-Oct-16,2163.66,2160.39,2169.6,2160.39,-,0.46%
7-Oct-16,2153.74,2164.19,2165.86,2144.85,-,-0.33%
6-Oct-16,2160.77,2158.22,2162.93,2150.28,-,0.05%
5-Oct-16,2159.73,2155.15,2163.95,2155.15,-,0.43%
4-Oct-16,2150.49,2163.37,2165.46,2144.01,-,-0.50%
3-Oct-16,2161.2,2164.33,2164.41,2154.77,-,-0.33%
30-Sep-16,2168.27,2156.51,2175.3,2156.51,-,0.80%
29-Sep-16,2151.13,2168.9,2172.67,2145.2,-,-0.93%
28-Sep-16,2171.37,2161.85,2172.4,2151.79,-,0.53%
27-Sep-16,2159.93,2146.04,2161.13,2141.55,-,0.64%
26-Sep-16,2146.1,2158.54,2158.54,2145.04,-,-0.86%
23-Sep-16,2164.69,2173.29,2173.75,2163.97,-,-0.57%
22-Sep-16,2177.18,2170.94,2179.99,2170.94,-,0.65%
21-Sep-16,2163.12,2144.58,2165.11,2139.57,-,1.09%
20-Sep-16,2139.76,2145.94,2150.8,2139.17,-,0.03%
19-Sep-16,2139.12,2143.99,2153.61,2135.91,-,0.00%
16-Sep-16,2139.16,2146.48,2146.48,2131.2,-,-0.38%
15-Sep-16,2147.26,2125.36,2151.31,2122.36,-,1.01%
14-Sep-16,2125.77,2127.86,2141.33,2119.9,-,-0.06%
13-Sep-16,2127.02,2150.47,2150.47,2120.27,-,-1.48%
12-Sep-16,2159.04,2120.86,2163.3,2119.12,-,1.47%
9-Sep-16,2127.81,2169.08,2169.08,2127.81,-,-2.45%
8-Sep-16,2181.3,2182.76,2184.94,2177.49,-,-0.22%
7-Sep-16,2186.16,2185.17,2187.87,2179.07,-,-0.01%
6-Sep-16,2186.48,2181.61,2186.57,2175.1,-,0.30%
2-Sep-16,2179.98,2177.49,2184.87,2173.59,-,0.42%
1-Sep-16,2170.86,2171.33,2173.56,2157.09,-,0.00%
31-Aug-16,2170.95,2173.56,2173.79,2161.35,-,-0.24%
30-Aug-16,2176.12,2179.45,2182.27,2170.41,-,-0.20%
29-Aug-16,2180.38,2170.19,2183.48,2170.19,-,0.52%
26-Aug-16,2169.04,2175.1,2187.94,2160.39,-,-0.16%
25-Aug-16,2172.47,2173.29,2179,2169.74,-,-0.14%
24-Aug-16,2175.44,2185.09,2186.66,2171.25,-,-0.52%
23-Aug-16,2186.9,2187.81,2193.42,2186.8,-,0.20%
22-Aug-16,2182.64,2181.58,2185.15,2175.96,-,-0.06%
19-Aug-16,2183.87,2184.24,2185,2175.13,-,-0.14%
18-Aug-16,2187.02,2181.9,2187.03,2180.46,-,0.22%
17-Aug-16,2182.22,2177.84,2183.08,2168.5,-,0.19%
16-Aug-16,2178.15,2186.24,2186.24,2178.14,-,-0.55%
15-Aug-16,2190.15,2186.08,2193.81,2186.08,-,0.28%
12-Aug-16,2184.05,2183.74,2186.28,2179.42,-,-0.08%
